
logging: COLLECTOR (5): modified: ==>(K. Gordon; Grube)	(K. Gordon)	(Grube)	UCSC003610
logging: COLLECTOR (5): modified: ==>(K. Gordon; Grube)	(K. Gordon)	(Grube)	UCSC003611
logging: COLLECTOR (5): modified: ==>(K. Gordon; Grube)	(K. Gordon)	(Grube)	UCSC003612
logging: COLLECTOR (5): modified: ==>(L. Amidon & C. Rutherford)	(L. Amidon)	(C. Rutherford)	UCSC001757
logging: COLLECTOR (5): modified: ==>(L. Amidon & C. Rutherford)	(L. Amidon)	(C. Rutherford)	UCSC001834
logging: COLLECTOR (5): modified: ==>(L. Amidon & C. Rutherford)	(L. Amidon)	(C. Rutherford)	UCSC001835
logging: COLLECTOR (5): modified: ==>(L. Amidon & C. Rutherford)	(L. Amidon)	(C. Rutherford)	UCSC003096
logging: COLLECTOR (5): modified: ==>(L. Amidon & C. Rutherford)	(L. Amidon)	(C. Rutherford)	UCSC003097
logging: COLLECTOR (5): modified: ==>(L. Amidon & C. Rutherford)	(L. Amidon)	(C. Rutherford)	UCSC003166
logging: COLLECTOR (5): modified: ==>(L. Amidon & C. Rutherford)	(L. Amidon)	(C. Rutherford)	UCSC003167
logging: COLLECTOR (5): modified: ==>(L. Amidon & C. Rutherford)	(L. Amidon)	(C. Rutherford)	UCSC003186
logging: COLLECTOR (5): modified: ==>(L. Amidon & C. Rutherford)	(L. Amidon)	(C. Rutherford)	UCSC003202
logging: COLLECTOR (5): modified: ==>(L. Amidon & C. Rutherford)	(L. Amidon)	(C. Rutherford)	UCSC003203
logging: COLLECTOR (5): modified: ==>(L. Amidon & C. Rutherford)	(L. Amidon)	(C. Rutherford)	UCSC003246
logging: COLLECTOR (5): modified: ==>(L. Amidon & C. Rutherford)	(L. Amidon)	(C. Rutherford)	UCSC003247
logging: COLLECTOR (5): modified: ==>(L. Amidon & C. Rutherford)	(L. Amidon)	(C. Rutherford)	UCSC003273
logging: COLLECTOR (5): modified: ==>(L. Amidon & C. Rutherford)	(L. Amidon)	(C. Rutherford)	UCSC003288
logging: COLLECTOR (5): modified: ==>(L. Amidon & C. Rutherford)	(L. Amidon)	(C. Rutherford)	UCSC003289
logging: COLLECTOR (5): modified: ==>(L. Amidon & C. Rutherford)	(L. Amidon)	(C. Rutherford)	UCSC003293
logging: COLLECTOR (5): modified: ==>(L. Amidon & C. Rutherford)	(L. Amidon)	(C. Rutherford)	UCSC003298
logging: COLLECTOR (5): modified: ==>(L. Amidon & C. Rutherford)	(L. Amidon)	(C. Rutherford)	UCSC003299
logging: COLLECTOR (5): modified: ==>(L. Amidon & C. Rutherford)	(L. Amidon)	(C. Rutherford)	UCSC003300
logging: COLLECTOR (5): modified: ==>(L. Amidon & C. Rutherford)	(L. Amidon)	(C. Rutherford)	UCSC003301
logging: COLLECTOR (5): modified: ==>(L. Amidon & C. Rutherford)	(L. Amidon)	(C. Rutherford)	UCSC003615
logging: COLLECTOR (5): modified: ==>(L. Amidon & C. Rutherford)	(L. Amidon)	(C. Rutherford)	UCSC003681
logging: COLLECTOR (5): modified: ==>(L. Amidon & C. Rutherford)	(L. Amidon)	(C. Rutherford)	UCSC003682
logging: COLLECTOR (5): modified: ==>(L. Amidon & C. Rutherford)	(L. Amidon)	(C. Rutherford)	UCSC003710
logging: COLLECTOR (5): modified: ==>(L. Amidon & C. Rutherford)	(L. Amidon)	(C. Rutherford)	UCSC003711
logging: COLLECTOR (5): modified: ==>(L. Amidon & Rutherford)	(L. Amidon)	(Rutherford)	UCSC002950
logging: COLLECTOR (5): modified: ==>(L. Amidon & Rutherford)	(L. Amidon)	(Rutherford)	UCSC002951
logging: COLLECTOR (5): modified: ==>(L. Amidon, C. Rutherford & Cain)	(L. Amidon)	(Cain)	UCSC000719
logging: COLLECTOR (5): modified: ==>(L. Amidon, C. Rutherford & Cain)	(L. Amidon)	(Cain)	UCSC001644
logging: COLLECTOR (5): modified: ==>(L. Amidon, C. Rutherford & Cain)	(L. Amidon)	(Cain)	UCSC002988
logging: COLLECTOR (5): modified: ==>(L. Amidon, C. Rutherford & Cain)	(L. Amidon)	(Cain)	UCSC002989
logging: COLLECTOR (5): modified: ==>(L. Amidon, C. Rutherford & Cain)	(L. Amidon)	(Cain)	UCSC002991
logging: COLLECTOR (5): modified: ==>(L. Amidon, C. Rutherford & Cain)	(L. Amidon)	(Cain)	UCSC003039
logging: COLLECTOR (5): modified: ==>(L. Amidon, C. Rutherford & Cain)	(L. Amidon)	(Cain)	UCSC003172
logging: COLLECTOR (5): modified: ==>(L. Amidon, C. Rutherford & Cain)	(L. Amidon)	(Cain)	UCSC003173
logging: COLLECTOR (5): modified: ==>(L. Amidon, C. Rutherford & Cain)	(L. Amidon)	(Cain)	UCSC003194
logging: COLLECTOR (5): modified: ==>(L. Amidon, C. Rutherford & Cain)	(L. Amidon)	(Cain)	UCSC003195
logging: COLLECTOR (5): modified: ==>(L. Amidon, C. Rutherford & Cain)	(L. Amidon)	(Cain)	UCSC003250
logging: COLLECTOR (5): modified: ==>(L. Amidon, C. Rutherford & Cain)	(L. Amidon)	(Cain)	UCSC003251
logging: COLLECTOR (5): modified: ==>(L. Amidon, C. Rutherford & Cain)	(L. Amidon)	(Cain)	UCSC003252
logging: COLLECTOR (5): modified: ==>(L. Amidon, C. Rutherford & Cain)	(L. Amidon)	(Cain)	UCSC003253
logging: COLLECTOR (5): modified: ==>(L. Amidon, C. Rutherford & Cain)	(L. Amidon)	(Cain)	UCSC003256
logging: COLLECTOR (5): modified: ==>(L. Amidon, C. Rutherford & Cain)	(L. Amidon)	(Cain)	UCSC003257
logging: COLLECTOR (5): modified: ==>(L. Amidon, C. Rutherford & Cain)	(L. Amidon)	(Cain)	UCSC003258
logging: COLLECTOR (5): modified: ==>(L. Amidon, C. Rutherford & Cain)	(L. Amidon)	(Cain)	UCSC003259
logging: COLLECTOR (5): modified: ==>(L. Amidon, C. Rutherford & Cain)	(L. Amidon)	(Cain)	UCSC003262
logging: COLLECTOR (5): modified: ==>(L. Amidon, C. Rutherford & Cain)	(L. Amidon)	(Cain)	UCSC003263
logging: COLLECTOR (5): modified: ==>(L. Amidon, C. Rutherford & Cain)	(L. Amidon)	(Cain)	UCSC003268
logging: COLLECTOR (5): modified: ==>(L. Amidon, C. Rutherford & Cain)	(L. Amidon)	(Cain)	UCSC003269
logging: COLLECTOR (5): modified: ==>(L. Amidon, C. Rutherford & Cain)	(L. Amidon)	(Cain)	UCSC003270
logging: COLLECTOR (5): modified: ==>(L. R. Short and W. Gansberg)	(L. R. Short)	(W. Gansberg)	UCSC000580
logging: COLLECTOR (5): modified: ==>(Lowell Ahart & Vernon H. Oswald)	(Lowell Ahart)	(Vernon H. Oswald)	UCSC009906
logging: COLLECTOR (5): modified: ==>(M. Porter, D. Styer & F. Freund)	(M. Porter)	(F. Freund)	UCSC009247
logging: COLLECTOR (5): modified: ==>(Michener & Bioletti)	(Michener)	(Bioletti)	UCSC000267
logging: COLLECTOR (5): modified: ==>(Michener & Bioletti)	(Michener)	(Bioletti)	UCSC000836
logging: COLLECTOR (5): modified: ==>(Nai; Muh Dennis)	(Nai)	(Muh Dennis)	UCSC006649
logging: COLLECTOR (5): modified: ==>(P Holleran & T. Haff)	(P Holleran)	(T. Haff)	UCSC006106
logging: COLLECTOR (5): modified: ==>(P. Holleran & T. Haff)	(P. Holleran)	(T. Haff)	UCSC005988
logging: COLLECTOR (5): modified: ==>(P. Smith & D. Styer)	(P. Smith)	(D. Styer)	UCSC009095
logging: COLLECTOR (5): modified: ==>(R. Wong and S. DeNire)	(R. Wong)	(S. DeNire)	UCSC003830
logging: COLLECTOR (5): modified: ==>(Randall Morgan & J. West)	(Randall Morgan)	(J. West)	UCSC006590
logging: COLLECTOR (5): modified: ==>(Rutherford & Amidon)	(Rutherford)	(Amidon)	UCSC003030
logging: COLLECTOR (5): modified: ==>(Rutherford & Amidon)	(Rutherford)	(Amidon)	UCSC003031
logging: COLLECTOR (5): modified: ==>(Rutherford & Amidon)	(Rutherford)	(Amidon)	UCSC003032
logging: COLLECTOR (5): modified: ==>(S. Bray & C. Rutherford)	(S. Bray)	(C. Rutherford)	UCSC002957
logging: COLLECTOR (5): modified: ==>(S. Bray & C. Rutherford)	(S. Bray)	(C. Rutherford)	UCSC002958
logging: COLLECTOR (5): modified: ==>(S. Bray & C. Rutherford)	(S. Bray)	(C. Rutherford)	UCSC002993
logging: COLLECTOR (5): modified: ==>(S. Bray & C. Rutherford)	(S. Bray)	(C. Rutherford)	UCSC002994
logging: COLLECTOR (5): modified: ==>(Soo; In Hwang)	(Soo)	(In Hwang)	UCSC002930
logging: COLLECTOR (5): modified: ==>(Stage and Thorp)	(Stage)	(Thorp)	UCSC000776
logging: COLLECTOR (5): modified: ==>(Sue and Chas. H. Quibell)	(Sue Quibell)	(Chas. H. Quibell)	UCSC000538
logging: COLLECTOR (5): modified: ==>(Unangst and Roadhouse)	(Unangst)	(Roadhouse)	UCSC000432
